model,fold,log_loss,brier,accuracy
lasso_lr,71,0.6668828760456706,0.23589050270711606,0.5983870967741935
ridge_lr,71,0.6640474756310081,0.23453589266459693,0.6104838709677419
elasticnet,71,0.6673875968388097,0.23606979980254258,0.5935483870967742
logistic,71,0.6640971491697646,0.23455387445116682,0.6112903225806452
xgboost,71,0.6603851310991231,0.2334335297346115,0.635483870967742
lasso_lr,72,0.6631495968889095,0.23523195183326298,0.6027874564459931
ridge_lr,72,0.6641280484367369,0.2357951500374546,0.5993031358885017
elasticnet,72,0.6632460862657359,0.23525356936229364,0.6062717770034843
logistic,72,0.6639620537951183,0.23572196123101333,0.5975609756097561
xgboost,72,0.6512012784576323,0.2298891544342041,0.6114982578397212
lasso_lr,73,0.6695063980115185,0.23650029771305967,0.6102150537634409
ridge_lr,73,0.6687575652051331,0.23596281404410296,0.6075268817204301
elasticnet,73,0.6697840409670719,0.23661755722982594,0.6129032258064516
logistic,73,0.6687190133533754,0.23594039798132807,0.6075268817204301
xgboost,73,0.665853779833275,0.23637622594833374,0.5806451612903226
lasso_lr,74,0.6633134667846302,0.23536513886749424,0.6146788990825688
ridge_lr,74,0.6623835257676617,0.2350043272058984,0.6055045871559633
elasticnet,74,0.663202619714481,0.23529551506584231,0.6146788990825688
logistic,74,0.6623389962740485,0.2349840493992053,0.6055045871559633
xgboost,74,0.6876713030547599,0.24610204994678497,0.573394495412844
lasso_lr,75,0.6411095128964722,0.22633711658393407,0.6116751269035533
ridge_lr,75,0.6413608191792619,0.22644480052530144,0.6192893401015228
elasticnet,75,0.6412269081067234,0.22640871231805498,0.6091370558375635
logistic,75,0.641382020979042,0.22645437236944058,0.6192893401015228
xgboost,75,0.6316442879272959,0.22202669084072113,0.6269035532994924
lasso_lr,76,0.6769098791233407,0.24014304200317763,0.5975609756097561
ridge_lr,76,0.6783374289434526,0.24084844489814056,0.5958188153310104
elasticnet,76,0.677502861880663,0.24036811339918623,0.5966898954703833
logistic,76,0.6784009751151981,0.240875025118962,0.5958188153310104
xgboost,76,0.6600774879286294,0.23337005078792572,0.6254355400696864
lasso_lr,77,0.6360630570148831,0.22274989525865266,0.6452164009111617
ridge_lr,77,0.6353183274706933,0.2224012730498531,0.6469248291571754
elasticnet,77,0.6360368489896014,0.22274862869764234,0.643507972665148
logistic,77,0.6353627508564847,0.22242585743618268,0.6480637813211845
xgboost,77,0.6418597993734464,0.2252775877714157,0.6304100227790432
lasso_lr,78,0.6162677665161239,0.21379063819329958,0.6723107569721115
ridge_lr,78,0.6169915439226036,0.2140515209839567,0.6673306772908366
elasticnet,78,0.6163955558541399,0.21385400772492943,0.6703187250996016
logistic,78,0.6170195950416028,0.21406326758712033,0.6673306772908366
xgboost,78,0.6166555373565158,0.21415793895721436,0.6693227091633466
lasso_lr,79,0.6237265112108887,0.2177956992274769,0.6573099415204678
ridge_lr,79,0.6234937122483655,0.2176729972021911,0.6596491228070176
elasticnet,79,0.6238929647568398,0.2178705824437983,0.6573099415204678
logistic,79,0.6234504411339531,0.21765644164803133,0.6596491228070176
xgboost,79,0.622415121463173,0.21707667410373688,0.6450292397660818
lasso_lr,80,0.6642395024234016,0.23398484425113958,0.6223076923076923
ridge_lr,80,0.6641202284237118,0.23400795973171948,0.6338461538461538
elasticnet,80,0.664175531956506,0.23400079000288945,0.6253846153846154
logistic,80,0.6636698266253018,0.23394339165153943,0.6269230769230769
